0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
DESTINO ESP.,FRENTE,CAMARA PTZ,CAMARA MULTISENSOR,ALTAVOZ IP,BOTON DE PANICO,DISPONIBILIDAD DE ESPACIO,MATERIAL BASE,METODO DE ANCLAJE,MEDIO DE COMUNICACION,ESTADO OPERATIVO,CUADRILLA - TIPO,FECHAS DE INSTALACION GABINETES (ADECUACION O INSTALACION NUEVA),CUADRILLA - TIPO,"FECHAS DE INSTALACION CAMARAS PTZ Y MULTISENSOR , MEGAFONOS IP , BOTON DE PANICO",,LOGISTICA,PTZ-01 ESTADIO GARCILASO,PTZ-57 LUCREPATA,PTZ-58 LIMACPAMPA,PTZ-68 AV. SOL GARCILASO ,PTZ-69 PUMACCHUPAN,PTZ-70 CLORINDA,PTZ-72 ROSAS PATA,PTZ-10 PASAJE GRECE 2,PTZ-08 CABRACANCHA TULLUMAYO,PTZ-32 MICHIPATA SANTA ANA,PTZ-33 ARCOPATA,PTZ-40 LA RAMPA,PTZ-82 TICA TICA 1,PTZ-20 PLATEROS,PTZ-31 SANTA ANA,PTZ-55 ESPADEROS,TOTALES,,CUADRILLA-01-C,CUADRILLA-02-C,CUADRILLA-03-L,CUADRILLA-04-L
OESTE MP-CUZCO,2,PTZ-01 ESTADIO GARCILASO,,,,SI,POSTE,ABRAZADERAS PARA POSTE,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-03-L,2026-06-09 00:00:00,CUADRILLA-03-L,2026-06-17 00:00:00,,CAMARA PTZ (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,2,PTZ-57 LUCREPATA,,,,SI,POSTE,ABRAZADERAS PARA POSTE,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),INACTIVO,CUADRILLA-03-L,2026-06-09 00:00:00,CUADRILLA-03-L,2026-06-17 00:00:00,,CAMARA MULTISENSOR (UND),0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,,0,1,1,1
OESTE MP-CUZCO,2,PTZ-58 LIMACPAMPA,MULTI-58 LIMACPAMPA,ALTAVOZ-58 LIMACPAMPA,,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-03-L,2026-06-09 00:00:00,CUADRILLA-03-L,2026-06-18 00:00:00,,ALTAVOCES (UND),0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,5,,1,1,1,2
OESTE MP-CUZCO,2,PTZ-68 AV. SOL GARCILASO ,,,,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-03-L,2026-06-09 00:00:00,CUADRILLA-03-L,2026-06-18 00:00:00,,BOTONES DE PANICO (UND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
OESTE MP-CUZCO,2,PTZ-69 PUMACCHUPAN,,,,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-04-L,2026-06-09 00:00:00,CUADRILLA-04-L,2026-06-17 00:00:00,,SWITCH WI-TEK (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,2,PTZ-70 CLORINDA,,ALTAVOZ-70 CLORINDA,,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),INACTIVO,CUADRILLA-04-L,2026-06-09 00:00:00,CUADRILLA-04-L,2026-06-17 00:00:00,,FUENTE DE PODER DEL SWITCH WI-TEK (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,2,PTZ-72 ROSAS PATA,MULTI-72 ROSAS PATA,ALTAVOZ-72 ROSAS PATA,,SI,POSTE,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-04-L,2026-06-09 00:00:00,CUADRILLA-04-L,2026-06-18 00:00:00,,INYECTORES POE (UND),1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,19,,4,5,5,5
OESTE MP-CUZCO,2,PTZ-10 PASAJE GRECE 2,,,,SI,CEMENTO,BASE ANGULAR PARA VIVIENDA,POE (ANTENA - POE - CAMARA),INACTIVO,CUADRILLA-04-L,2026-06-09 00:00:00,CUADRILLA-04-L,2026-06-18 00:00:00,,PARARRAYOS ETHERNET (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,2,PTZ-08 CABRACANCHA TULLUMAYO,,,,NO,POSTE,ABRAZADERAS PARA POSTE,SWITCH(UP),INACTIVO,CUADRILLA-01-C,2026-06-09 00:00:00,CUADRILLA-01-C,2026-06-17 00:00:00,,LLAVES TERMOMAGNETICAS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
