0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
DESTINO ESP.,FRENTE,CAMARA PTZ,CAMARA MULTISENSOR,ALTAVOZ IP,BOTON DE PANICO,DISPONIBILIDAD DE ESPACIO,MATERIAL BASE,METODO DE ANCLAJE,MEDIO DE COMUNICACION,ESTADO OPERATIVO,CUADRILLA - TIPO,FECHAS DE INSTALACION GABINETES (ADECUACION O INSTALACION NUEVA),CUADRILLA - TIPO,"FECHAS DE INSTALACION CAMARAS PTZ Y MULTISENSOR , MEGAFONOS IP , BOTON DE PANICO",,LOGISTICA,PTZ-50 LORETO,PTZ-52 SANTA CATALINA 2,PTZ-28 TANDAPATA,PTZ-29 SAPANTIANA,TOTALES,,CUADRILLA-01-C,CUADRILLA-02-C,CUADRILLA-03-L,CUADRILLA-04-L
CENTRO MP-CUZCO,6,PTZ-50 LORETO,,,,SI,CEMENTO,BASE ANGULAR PARA VIVIENDA,POE (ANTENA - POE - CAMARA),ACTIVO,CUADRILLA-01-C,2026-06-13 00:00:00,CUADRILLA-01-C,2026-06-23 00:00:00,,CAMARA PTZ (UND),1,1,1,1,4,,1,1,1,1
CENTRO MP-CUZCO,6,PTZ-52 SANTA CATALINA 2,,,,SI,CEMENTO,BASE PLANA PARA VIVIENDA,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),ACTIVO,CUADRILLA-02-C,2026-06-13 00:00:00,CUADRILLA-02-C,2026-06-23 00:00:00,,CAMARA MULTISENSOR (UND),0,0,0,0,0,,0,0,0,0
CENTRO MP-CUZCO,6,PTZ-28 TANDAPATA,,,,SI,ADOBE,BASE ANGULAR PARA VIVIENDA,POE (ANTENA - POE - CAMARA),ACTIVO,CUADRILLA-03-L,2026-06-13 00:00:00,CUADRILLA-03-L,2026-06-23 00:00:00,,ALTAVOCES (UND),0,0,0,0,0,,0,0,0,0
CENTRO MP-CUZCO,6,PTZ-29 SAPANTIANA,,,,SI,POSTE,ABRAZADERAS PARA POSTE,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),INACTIVO,CUADRILLA-04-L,2026-06-13 00:00:00,CUADRILLA-04-L,2026-06-23 00:00:00,,BOTONES DE PANICO (UND),0,0,0,0,0,,0,0,0,0
,,,,,,,,,,,,,,,,SWITCH WI-TEK (UND),1,1,1,1,4,,1,1,1,1
,,,,,,,,,,,,,,,,FUENTE DE PODER DEL SWITCH WI-TEK (UND),1,1,1,1,4,,1,1,1,1
,,,,,,,,,,,,,,,,INYECTORES POE (UND),1,1,1,1,4,,1,1,1,1
,,,,,,,,,,,,,,,,PARARRAYOS ETHERNET (UND),1,1,1,1,4,,1,1,1,1
,,,,,,,,,,,,,,,,LLAVES TERMOMAGNETICAS (UND),1,1,1,1,4,,1,1,1,1
,,,,,,,,,,,,,,,,LLAVES DIFERENCIALES (UND),1,1,1,1,4,,1,1,1,1
,,,,,,,,,,,,,,,,UPS (UND),1,1,1,1,4,,1,1,1,1
,,,,,,,,,,,,,,,,TRANSFORMADOR (UND),1,1,1,1,4,,1,1,1,1
,,,,,,,,,,,,,,,,SUPRESOR DE PICOS (UND),1,1,1,1,4,,1,1,1,1
,,,,,,,,,,,,,,,,SOPORTE DE UPS (UND),1,1,1,1,4,,1,1,1,1
,,,,,,,,,,,,,,,,SOPORTE DE TRANSFORMADOR  (UND),1,1,1,1,4,,1,1,1,1
,,,,,,,,,,,,,,,,PRENSAESTOPA (UND),2,2,2,2,8,,2,2,2,2
,,,,,,,,,,,,,,,,CORRUGADO (M),5,5,5,5,20,,5,5,5,5
,,,,,,,,,,,,,,,,CABLE ETHERNET (M),5,5,5,5,20,,5,5,5,5
,,,,,,,,,,,,,,,,CABLE ELECTRICO (M),4,4,4,4,16,,4,4,4,4
,,,,,,,,,,,,,,,,CONECTOR RJ45 CAT 6A (UND),2,2,2,2,8,,2,2,2,2
,,,,,,,,,,,,,,,,BRAZOS (UND),1,1,1,1,4,,1,1,1,1
,,,,,,,,,,,,,,,,BASES DE ANCLAJE PLANO (PAR),0,1,0,0,1,,0,1,0,0
,,,,,,,,,,,,,,,,BASES DE ANCLAJE ANGULAR (PAR),1,0,1,0,2,,1,0,1,0
,,,,,,,,,,,,,,,,ABRAZADERAS POSTE CONCRETO (PAR),0,0,0,1,1,,0,0,0,1
,,,,,,,,,,,,,,,,ABRAZADERAS POSTE SEMAFORO (PAR),0,0,0,0,0,,0,0,0,0
,,,,,,,,,,,,,,,,CINTA BANDIT (M),0,0,0,0,0,,0,0,0,0
,,,,,,,,,,,,,,,,EBILLAS (UND),0,0,0,0,0,,0,0,0,0
,,,,,,,,,,,,,,,,PATCHORE CAT 6A (UN),2,2,2,2,8,,2,2,2,2
