0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
DESTINO ESP.,FRENTE,CAMARA PTZ,CAMARA MULTISENSOR,ALTAVOZ IP,BOTON DE PANICO,DISPONIBILIDAD DE ESPACIO,MATERIAL BASE,METODO DE ANCLAJE,MEDIO DE COMUNICACION,ESTADO OPERATIVO,CUADRILLA - TIPO,FECHAS DE INSTALACION GABINETES (ADECUACION O INSTALACION NUEVA),CUADRILLA - TIPO,"FECHAS DE INSTALACION CAMARAS PTZ Y MULTISENSOR , MEGAFONOS IP , BOTON DE PANICO",,LOGISTICA,PTZ-60 AV. SOL AYACUCHO,PTZ-04 SIMON BOLIVAR,PTZ-13 QUESWA,PTZ-34 PUENTE MALA VOLUNTAD,PTZ-35 AVENIDA ALTA,PTZ-66 PUQUIN,PTZ-83 TICA TICA 2,PTZ-36 NUEVA ALTA 1,PTZ-37 NUEVA ALTA 2,PTZ-38 NUEVA BAJA,PTZ-39 VITOQUE,PTZ-14 PLAZA ATRIO,PTZ-15 PARANINFO,PTZ-19 TECSECOCHA,PTZ-49 PARANINFO FIJA,PTZ-22 NAZARENAS,TOTALES,,CUADRILLA-01-C,CUADRILLA-02-C,CUADRILLA-03-L,CUADRILLA-04-L
OESTE MP-CUZCO,5,PTZ-60 AV. SOL AYACUCHO,,ALTAVOZ-60 AV. SOL AYACUCHO,BOTON-60 AV. SOL AYACUCHO,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-03-L,2026-06-12 00:00:00,CUADRILLA-03-L,2026-06-22 00:00:00,,CAMARA PTZ (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,5,PTZ-04 SIMON BOLIVAR,,ALTAVOZ-04 SIMON BOLIVAR,,SI,POSTE,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-03-L,2026-06-12 00:00:00,CUADRILLA-03-L,2026-06-22 00:00:00,,CAMARA MULTISENSOR (UND),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,,0,1,0,1
OESTE MP-CUZCO,5,PTZ-13 QUESWA,,,,SI,ADOBE,BASE PLANA PARA VIVIENDA,POE (ANTENA - POE - CAMARA),ACTIVO,CUADRILLA-03-L,2026-06-12 00:00:00,CUADRILLA-03-L,2026-06-23 00:00:00,,ALTAVOCES (UND),1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,6,,0,2,3,1
OESTE MP-CUZCO,5,PTZ-34 PUENTE MALA VOLUNTAD,,ALTAVOZ-34 PUENTE MALA VOLUNTAD,,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-03-L,2026-06-12 00:00:00,CUADRILLA-03-L,2026-06-23 00:00:00,,BOTONES DE PANICO (UND),1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,0,1,1,0
OESTE MP-CUZCO,5,PTZ-35 AVENIDA ALTA,,,,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-04-L,2026-06-12 00:00:00,CUADRILLA-04-L,2026-06-22 00:00:00,,SWITCH WI-TEK (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,5,PTZ-66 PUQUIN,,,,SI,POSTE,ABRAZADERAS PARA POSTE,POE (ANTENA - POE - CAMARA),INACTIVO,CUADRILLA-04-L,2026-06-12 00:00:00,CUADRILLA-04-L,2026-06-22 00:00:00,,FUENTE DE PODER DEL SWITCH WI-TEK (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,5,PTZ-83 TICA TICA 2,,,,SI,POSTE SEMAFORO,ABRAZADERAS PARA POSTE,MEDIA CONVERTE (FIBRA - MEDIA CONVERTER - CAMARA),INACTIVO,CUADRILLA-04-L,2026-06-12 00:00:00,CUADRILLA-04-L,2026-06-23 00:00:00,,INYECTORES POE (UND),1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,18,,4,5,4,5
OESTE MP-CUZCO,5,PTZ-36 NUEVA ALTA 1,,,,SI,ADOBE,BASE PLANA PARA VIVIENDA,SWITCH(UP),ACTIVO,CUADRILLA-01-C,2026-06-12 00:00:00,CUADRILLA-01-C,2026-06-20 00:00:00,,PARARRAYOS ETHERNET (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,5,PTZ-37 NUEVA ALTA 2,,,,SI,ADOBE,BASE PLANA PARA VIVIENDA,SWITCH(UP),ACTIVO,CUADRILLA-01-C,2026-06-12 00:00:00,CUADRILLA-01-C,2026-06-20 00:00:00,,LLAVES TERMOMAGNETICAS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,5,PTZ-38 NUEVA BAJA,,,,SI,ADOBE,BASE ANGULAR PARA VIVIENDA,INACTIVO,INACTIVO,CUADRILLA-01-C,2026-06-12 00:00:00,CUADRILLA-01-C,2026-06-20 00:00:00,,LLAVES DIFERENCIALES (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
OESTE MP-CUZCO,5,PTZ-39 VITOQUE,,,,SI,ADOBE,BASE ANGULAR PARA VIVIENDA,DIRECTO A LA CAMARA (UTP),ACTIVO,CUADRILLA-01-C,2026-06-12 00:00:00,CUADRILLA-01-C,2026-06-22 00:00:00,,UPS (UND),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,4,4,4,4
